ward_code,Observation
E05004969,397.9
E05004970,445.5
E05004971,2807.1
E05004972,3879.6
E05004973,5024.8
E05004974,6495.8
E05004975,4687.8
E05004976,2921.8
E05004977,119.9
E05004978,6332.2
E05004979,3565.1
E05004980,6351.7
E05004981,3338.5
E05004982,2918.3
E05004983,416.1
E05004984,2990.9
E05004985,156.7
E05004986,361.8
E05004987,3881.6
E05004989,168.4
E05004990,896.3
E05004991,5350.7
E05004992,4268.8
E05004993,210
E05004994,114.5
E05004995,4001.9
E05004996,6190.3
E05004997,192.8
E05004999,154.5
E05005000,4314.5
E05005001,41.1
E05005002,4018.7
E05005003,2398.3
E05005004,5116.7
E05005006,280.5
E05005007,248.3
E05005010,76.5
E05005011,198.4
E05005012,895.3
E05005013,574.9
E05005014,350.1
E05005016,243.4
E05005017,266.4
E05005018,224.5
E05005021,483.6
E05005026,3299.5
E05005027,1270.6
E05005028,1364.3
E05005029,1132.2
E05005031,4374.4
E05005032,3532.3
E05005081,3166.4
E05005082,2261.6
E05005083,1160.7
E05005084,3340.7
E05005085,5940
E05005086,1184.3
E05005087,2825.4
E05005088,10704.1
E05005089,4868.5
E05005090,8474.1
E05005091,2008.7
E05005092,938
E05005093,7056.6
E05005094,5620.1
E05005095,4309.9
E05005096,2506.5
E05005097,1647
E05005098,2011.3
E05005099,4748.2
E05005100,138.1
E05005101,3527.1
E05005102,4386.8
E05005103,3472.5
E05005130,139.6
E05005131,126
E05005132,1566.2
E05005133,111.2
E05005134,4591.5
E05005135,79.9
E05005136,77.7
E05005137,144.9
E05005138,606.2
E05005139,1360.3
E05005140,2970.4
E05005141,994.4
E05005142,403.1
E05005143,2832.7
E05005144,7878.6
E05005145,2904.1
E05005146,1991.2
E05005147,3162.8
E05005148,883.1
E05005149,247.3
E05005150,4264.5
E05005151,323.3
E05005152,3215.6
E05005153,121.3
E05005154,482.9
E05005155,3004
E05005156,4749.3
E05005157,3607.8
E05005158,375.5
E05005159,4086.7
E05005160,5464.7
E05005161,2980.3
E05005162,2691.2
E05005163,3739.6
E05005164,1111.3
E05005185,2698.8
E05005186,2842.2
E05005187,4185.2
E05005188,1341.6
E05005189,182.3
E05005190,2659.7
E05005191,371.4
E05005192,957.1
E05005193,1419.4
E05005194,2243.6
E05005195,2132
E05005196,1812.2
E05005197,584.6
E05005198,97.2
E05005199,1402.2
E05005200,428.3
E05005201,1316.9
E05005202,1305.7
E05005203,75.5
E05005204,196.5
E05005205,193.5
E05005206,652.9
E05005207,1117.1
E05005208,880.9
E05005209,6859.5
E05005210,2469
E05005211,2289.9
E05005212,1140.9
E05005213,385
E05005214,4361.1
E05005215,1718.6
E05005216,663.3
E05005217,9470.6
E05005218,601.1
E05005219,3537
E05005220,737.1
E05005221,4315.8
E05005316,1195
E05005317,177.9
E05005318,335.6
E05005319,479
E05005320,2254.4
E05005321,553.1
E05005322,1091.3
E05005323,579.3
E05005324,322.8
E05005325,1389.5
E05005326,1254.1
E05005327,496.2
E05005328,312
E05005329,408.9
E05005357,2477.3
E05005358,139.5
E05005359,537.3
E05005360,3386
E05005361,1269
E05005362,591.1
E05005363,1182.3
E05005364,4286.4
E05005365,78
E05005366,224.3
E05005367,1956.1
E05005368,4760.1
E05005369,153.1
E05005370,194.5
E05005371,171.3
E05005372,101.1
E05005373,1660
E05005374,1289.1
E05005375,1857.8
E05005376,2378.3
E05005377,266
E05005378,649.1
E05005379,225.1
E05005380,53.9
E05005381,103.4
E05005408,1985.7
E05005409,373.4
E05005410,540.9
E05005411,213.3
E05005412,1706.6
E05005413,515.1
E05005414,3090.1
E05005416,3627.8
E05005417,623.2
E05005418,1712.3
E05005419,174
E05005420,2256.3
E05005421,1701.1
E05005422,4136
E05005423,1403.2
E05005424,377.1
E05005426,1551.1
E05005427,650.7
E05005428,1501.4
E05005429,3214.7
E05005430,1540.7
E05005431,91.8
E05005432,6196.8
E05005433,739.7
E05005434,1513.2
E05005435,1880.4
E05005436,1505.6
E05005437,1325.3
E05005438,1010.9
E05005439,3161.4
E05005440,4486.7
E05005441,6489
E05005442,3612.6
E05005443,146.9
E05005444,654.7
E05005445,470.8
E05005446,772
E05005447,868.8
