Area name,Domestic Buildings area rate,Non Domestic Buildings area rate
Hillside,0.165059653,0.074519999
Lavender Fields,0.125333401,0.059230756
Longthornton,0.113426936,0.037384133
Lower Morden,0.089483405,0.047816278
Merton Park,0.123646024,0.041671066
Pollards Hill,0.080536294,0.023299316
Ravensbury,0.092460528,0.029689309
Raynes Park,0.110352302,0.049231842
St Helier,0.087274913,0.027062328
Trinity,0.170912603,0.059849415
Village,0.051251554,0.018327869
West Barnes,0.104136357,0.040209906
Wimbledon Park,0.105773192,0.076050522
Beckton,0.040338633,0.064372289
Boleyn,0.222428775,0.068598418
Canning Town North,0.095082228,0.11070549
Canning Town South,0.105924084,0.056954013
Custom House,0.097356282,0.072448873
East Ham Central,0.200444595,0.093635529
East Ham North,0.20308414,0.050616716
East Ham South,0.125911495,0.023807558
Forest Gate North,0.196610088,0.034575174
Forest Gate South,0.201101928,0.085163562
Green Street East,0.269921376,0.053431999
Green Street West,0.248521526,0.076066256
Little Ilford,0.10744326,0.029900994
Manor Park,0.152692864,0.038478147
Plaistow North,0.195721342,0.045251154
Plaistow South,0.165245495,0.059862356
Royal Docks,0.028502209,0.097358671
Stratford and New Town,0.055141192,0.123586622
Wall End,0.146124312,0.035554912
West Ham,0.145871504,0.049226995
Aldborough,0.029665835,0.012970243
Barkingside,0.165624083,0.034441147
Bridge,0.08910601,0.021355241
Chadwell,0.15693718,0.035726676
Church End,0.140401069,0.056482034
Clayhall,0.110410905,0.041267114
Clementswood,0.155697466,0.096124526
Cranbrook,0.106877441,0.017742694
Fairlop,0.072540668,0.029710961
Fullwell,0.121381519,0.023165599
Goodmayes,0.132151801,0.022713591
Hainault,0.049029351,0.028085212
Loxford,0.157413964,0.044351603
Mayfield,0.137970618,0.020130588
Monkhams,0.094840268,0.022493528
Newbury,0.122026229,0.044253046
Roding,0.093423277,0.029498103
Seven Kings,0.114512025,0.064668043
Snaresbrook,0.130526729,0.039813094
Valentines,0.162363339,0.052104735
Wanstead,0.055357718,0.008178215
Barnes,0.08547042,0.019897237
East Sheen,0.04633348,0.009512218
Fulwell and Hampton Hill,0.111765164,0.042576958
"Ham, Petersham and Richmond Riverside",0.024350485,0.009550822
Hampton,0.035037031,0.017988687
Hampton North,0.109540964,0.035740606
Hampton Wick,0.082101376,0.024091884
Heathfield,0.111219874,0.015910474
Kew,0.073793324,0.03285169
Mortlake and Barnes Common,0.119267039,0.044849857
North Richmond,0.079759879,0.031430472
St Margarets and North Twickenham,0.122927809,0.052424357
South Richmond,0.088351674,0.04820134
South Twickenham,0.129878394,0.052654836
Teddington,0.054017936,0.037289862
Twickenham Riverside,0.107486369,0.053697237
West Twickenham,0.079510292,0.025239615
Whitton,0.123542299,0.028583459
Brunswick Park,0.162642215,0.114381431
Camberwell Green,0.122613998,0.153927727
Cathedrals,0.088936654,0.242552277
Chaucer,0.07363228,0.1942665
College,0.066809363,0.029154754
East Dulwich,0.232783428,0.064894749
East Walworth,0.097361792,0.117017986
Faraday,0.12083895,0.071294752
Grange,0.092017073,0.237795525
Livesey,0.10101769,0.174433245
Newington,0.141243074,0.114956068
Nunhead,0.163599649,0.038701566
Peckham,0.163875571,0.081187939
Peckham Rye,0.099708546,0.022413064
Riverside,0.074338484,0.163607612
Rotherhithe,0.080758081,0.083961444
South Bermondsey,0.13465309,0.10813147
South Camberwell,0.119403211,0.053957433
Surrey Docks,0.081629354,0.093230642
The Lane,0.168243243,0.109800853
Village,0.106222504,0.028522643
Beddington North,0.046675148,0.066625059
Beddington South,0.077084393,0.023480834
Belmont,0.109268498,0.029169151
Carshalton Central,0.114855953,0.036430803
Carshalton South and Clockhouse,0.039788653,0.007126771
Cheam,0.089858344,0.015968955
Nonsuch,0.129419851,0.034099555
St Helier,0.119228579,0.032692028
Stonecot,0.110303343,0.040103408
Sutton Central,0.143668275,0.146880185
Sutton North,0.112464452,0.02865268
Sutton South,0.136435042,0.05020672
Sutton West,0.125318184,0.030354624
The Wrythe,0.124172263,0.036135283
Wallington North,0.13136781,0.032391892
Wallington South,0.137308664,0.04259781
Wandle Valley,0.090255661,0.053450207
Worcester Park,0.113443895,0.026239977
Bethnal Green North,0.115894936,0.182150506
Bethnal Green South,0.108363123,0.122751773
Blackwall and Cubitt Town,0.019576581,0.040373859
Bow East,0.076960024,0.122410104
Bow West,0.109531887,0.052710091
Bromley-by-Bow,0.076488148,0.156296207
East India and Lansbury,0.104256637,0.117169935
Limehouse,0.092163004,0.12605956
Mile End and Globe Town,0.120231585,0.130094981
Mile End East,0.064943568,0.070478911
Millwall,0.067202153,0.180587479
St Dunstan's and Stepney Green,0.14106447,0.092231046
St Katherine's and Wapping,0.080873453,0.193375134
Shadwell,0.08033617,0.149187313
Spitalfields and Banglatown,0.132504241,0.281164879
Weavers,0.127536829,0.138675698
Whitechapel,0.113381521,0.231754881
Cann Hall,0.245473074,0.047431109
Cathall,0.162335439,0.046096188
Chapel End,0.123903402,0.046661678
Chingford Green,0.066395082,0.016018403
Endlebury,0.126553842,0.017477909
Forest,0.11158618,0.051762872
Grove Green,0.253919055,0.04344966
Hale End and Highams Park,0.093555313,0.031158336
Hatch Lane,0.09553948,0.019443828
High Street,0.071608115,0.037602074
Higham Hill,0.062696835,0.047780632
Hoe Street,0.198226233,0.061459468
Larkswood,0.112118147,0.034124177
Lea Bridge,0.087679355,0.095877915
Leyton,0.089543035,0.075527732
Leytonstone,0.177166027,0.057007255
Markhouse,0.146785069,0.040733029
Valley,0.119131798,0.063332001
William Morris,0.20819258,0.083132982
Wood Street,0.113344073,0.044256044
Balham,0.224665961,0.058630441
Bedford,0.141274478,0.020263984
Earlsfield,0.158558277,0.092473658
East Putney,0.148062927,0.066978466
Fairfield,0.161691198,0.11420173
Furzedown,0.177394248,0.033722377
Graveney,0.238296243,0.067213775
Latchmere,0.112823269,0.064127695
Nightingale,0.218992455,0.069983463
Northcote,0.169587764,0.044384867
Queenstown,0.056964237,0.135536416
Roehampton,0.035161999,0.035048792
St Mary's Park,0.119400837,0.128957702
